Unicode,Kanji,KLC,Heisig old,Heisig 6th Ed,KLC name
5ac1,嫁,2201,542,581,"wed a man, bride"
7a3c,稼,2202,893,959,work (for a living)
585a,塚,2203,1039,1117,mound
8c6a,豪,2204,543,582,"great man, magnificent"
8499,蒙,2205,2384,2467,"ignorance (darkness), phonetic mou"
58be,墾,2206,1971,2124,clear land for farming
61c7,懇,2207,1970,2123,"familiar (intimate), earnest"
8c8c,貌,2208,2733,2125,appearance
9010,逐,2209,539,578,"drive out, one by one"
9042,遂,2210,540,579,accomplish (carry out)
589c,墜,2211,1307,1404,drop down
5815,堕,2212,1314,1411,degenerate (descend)
968f,随,2213,1298,1395,follow
9644,附,2214,1303,1400,"attach (be attached to, hand over)"
9ac4,髄,2215,1290,1385,marrow
6020,怠,2216,745,806,idle
60f0,惰,2217,629,676,lazy
4f50,佐,2218,952,1024,"assist, field officer"
73a9,玩,2219,2567,276,play with
5f04,弄,2220,2558,731,play with
5632,嘲,2221,2155,54,ridicule
5954,奔,2222,1196,1280,rush
5f0a,弊,2223,1041,1120,evil practice
5e63,幣,2224,1040,1118,"currency, shinto paper offering"
853d,蔽,2225,2358,1119,cover
670b,朋,2226,19,19,comrade
68da,棚,2227,202,214,shelf
67f5,柵,2228,2507,1968,fence
6841,桁,2229,2483,956,"digit, beam (girder)"
6813,栓,2230,264,282,stopper (spigot)
8a6e,詮,2231,2717,360,inquiry
585e,塞,2232,2214,1646,plug up (obstruct)
6897,梗,2233,2498,751,block
67ff,柿,2234,2481,441,persimmon
85e4,藤,2235,1210,1295,wisteria
9a30,騰,2236,1989,2144,rise (jump up)
8b04,謄,2237,1211,1296,transcribe (copy)
9eba,麺,2238,2752,2040,noodles
62c9,拉,2239,,696,kidnap (pull)
6643,晃,2240,2446,2522,dazzling
5e4c,幌,2241,410,438,awning (hood)
5398,厘,2242,178,190,rin (0.001 yen)
755d,畝,2243,1017,1093,ridge
5301,匁,2244,1027,1104,monme (3.75 grams)
5302,匂,2245,2147,478,small (fragrance)
52fe,勾,2246,2148,800,bent (sloping)
6328,挨,2247,2248,1310,greet
62f6,拶,2248,2261,713,greet
66d6,曖,2249,2437,797,not clear
6627,昧,2250,2445,231,dark
7460,瑠,2251,2555,1528,lapis lazuli
7483,璃,2252,2048,1606,glassy substance
5ac9,嫉,2253,2202,1820,envy
59ac,妬,2254,2195,123,envy
9e7f,鹿,2255,1999,2154,deer
5875,塵,2256,2838,2853,dust (trash)
9e93,麓,2257,2839,2155,foot of a mountain
9e97,麗,2258,2002,2158,of graceful beauty
85a6,薦,2259,2000,2156,recommend
6176,慶,2260,2001,2157,felicitation (rejoicing)
515c,兜,2261,2854,2870,helmet
7768,睨,2262,,,glare at
9f20,鼠,2263,2065,2856,rat (mouse)
6eba,溺,2264,2308,1324,drown (indulge in)
6f5f,潟,2265,2039,2196,lagoon
6fc1,濁,2266,835,898,turbid
6e07,渇,2267,451,488,"run dry, thirst"
8910,褐,2268,453,490,brown
845b,葛,2269,2398,492,kudzu (arrowroot)
559d,喝,2270,454,491,shout at
8b01,謁,2271,452,489,be granted an audience
63b2,掲,2272,673,726,put up (display)
620c,戌,2273,,,sign of the dog
5c24,尤,2274,2087,2232,reasonable (plausible)
99c4,駄,2275,1986,2140,"good for nothing, clogs"
99d2,駒,2276,1979,2133,"horse (pony), chess piece"
7be4,篤,2277,1988,2142,"serious, kind"
7f75,罵,2278,2699,2143,speak ill of
8511,蔑,2279,2390,392,scorn
7f60,罠,2280,,,trap
70cf,烏,2281,1944,2094,raven (crow)
9d28,鴨,2282,2835,2850,duck
9ce9,鳩,2283,1946,2096,pigeon
9d8f,鶏,2284,1947,2097,chicken
6e13,渓,2285,840,903,ravine
9df9,鷹,2286,2237,2344,hawk
9df2,鷲,2287,2834,2849,eagle
74bd,璽,2288,2075,2194,imperial seal
723d,爽,2289,2855,1608,refreshing
7db4,綴,2290,2073,2222,"stitch together (bind), compose (spell)"
6851,桑,2291,698,754,mulberry
8695,蚕,2292,523,562,silkworm
86cb,蛋,2293,2683,2723,egg
87f9,蟹,2294,2682,2722,crab
868a,蚊,2295,1728,1864,mosquito
5df3,巳,2296,2042,2200,sign of the serpent
86c7,蛇,2297,519,558,snake
7e6d,繭,2298,1880,2025,cocoon
8776,蝶,2299,521,560,butterfly
8679,虹,2300,520,559,rainbow
