Unicode,Kanji,KLC,Heisig old,Heisig 6th Ed,KLC name
60e7,惧,1717,,680,fear
614e,慎,1718,630,677,prudent (discreet)
93ae,鎮,1719,276,294,quell (appease)
586b,填,1720,2190,166,fill (in)
5a5a,婚,1721,1830,1972,marry
56da,囚,1722,1018,1094,prisoner
56f0,困,1723,579,621,be in trouble
68b1,梱,1724,2518,2578,package (bale)
56e0,因,1725,583,626,cause
59fb,姻,1726,584,628,marriage
54bd,咽,1727,2159,627,throat
6069,恩,1728,606,652,"grace (favor), debt of gratitude"
83cc,菌,1729,918,985,"bacteria (germ, fungus)"
6f22,漢,1730,1578,1701,"(ancient) chinese, fellow (man)"
5606,嘆,1731,1579,1702,sigh (lament)
52e4,勤,1732,1577,1700,"service (work, employment)"
8b39,謹,1733,1576,1698,respectfully (carefully)
50c5,僅,1734,2116,1699,a few (little)
7d22,索,1735,1365,1465,search for
727d,牽,1736,2550,2607,pull
7262,牢,1737,2213,2325,"prison, hardness"
5553,啓,1738,1085,1166,"enlighten, address respectfully"
5eb6,庶,1739,1191,1275,manifold
906e,遮,1740,1192,1276,interrupt (cut off)
71d5,燕,1741,2869,2882,swallow (bird)
96c0,雀,1742,2878,2890,"sparrow, mahjong"
52a3,劣,1743,862,926,inferior
6284,抄,1744,647,699,excerpt (select)
79d2,秒,1745,899,965,second
5999,妙,1746,123,130,"marvelous (wonderful, strange)"
6c99,沙,1747,2296,151,sand
6c70,汰,1748,2316,149,sift out
714e,煎,1749,2548,310,boil (roast)
7092,炒,1750,,,roast (parch)
708a,炊,1751,468,507,cook
711a,焚,1752,2537,2597,kindle (build a fire)
85aa,薪,1753,1503,1620,firewood
4e43,乃,1754,686,741,possessive particle
4e4b,之,1755,1214,1299,possessive particle
6b64,此,1756,2043,2201,this
5176,其,1757,,,that
4e4f,乏,1758,1215,1300,scanty (poor)
829d,芝,1759,1216,1301,lawn grass
53ca,及,1760,688,743,reach to (extend to)
6271,扱,1761,690,745,handle (treat)
7d1a,級,1762,1353,1453,grade (rank)
5438,吸,1763,689,744,"suck, breathe in"
5439,吹,1764,467,506,blow (breathe out)
547c,呼,1765,1485,1597,call
5410,吐,1766,151,162,spew (vomit)
53f6,叶,1767,2173,2291,"be fulfilled (fulfill, grant)"
53f1,叱,1768,2179,477,scold
53eb,叫,1769,1508,1626,shout
541f,吟,1770,1589,1714,recite
542b,含,1771,1588,1712,contain (include)
7434,琴,1772,1591,1717,koto (japanese zither)
8ff7,迷,1773,924,992,perplexed (lost)
8b0e,謎,1774,2709,994,riddle (enigma)
9006,逆,1775,1959,2109,reverse (contrary)
9061,遡,1776,2847,2111,go back in time
5851,塑,1777,1960,2110,model (mold)
52f2,勲,1778,1677,1808,meritorious service
85ab,薫,1779,1681,1812,balmy (fragrant)
82b3,芳,1780,493,532,fragrant
9999,香,1781,911,977,sweet smell
79c0,秀,1782,914,980,excellent
8a98,誘,1783,916,982,induce (invite)
62d0,拐,1784,656,708,kidnap
900f,透,1785,915,981,"pass through, see-through (transparent)"
643a,携,1786,687,742,carry in hand
96c4,雄,1787,743,804,"male, heroic"
96cc,雌,1788,563,605,female
4e9b,些,1789,2046,2203,a little bit
67f4,柴,1790,2044,2202,brushwood (firewood)
7d2b,紫,1791,1375,1475,purple
9aea,髪,1792,1924,2074,hair
9aed,髭,1793,2047,2205,beard (mustache)
8a50,詐,1794,1141,1223,swindle
6b3a,欺,1795,1762,1899,deceive
68cb,棋,1796,1763,1900,shogi (japanese chess)
7881,碁,1797,1766,1903,go (japanese checkers)
751a,甚,1798,1768,1905,extremely
52d8,勘,1799,1769,1906,"check (consider), intuitive perception"
582a,堪,1800,1770,1907,endure (tolerate)
5339,匹,1801,1695,1830,counter for animals
5320,匠,1802,1693,1828,craftsman
533f,匿,1803,1692,1827,conceal
8afe,諾,1804,351,375,consent
4e5e,乞,1805,462,501,beg
8fc4,迄,1806,2421,2501,up to (until)
4e7e,乾,1807,463,502,dry
5e79,幹,1808,1654,1783,trunk
64cd,操,1809,671,724,"manipulate, fidelity"
71e5,燥,1810,215,228,dry out
7e70,繰,1811,1369,1469,"reel, shift onward"
85fb,藻,1812,2035,2191,seaweed (algae)
5674,噴,1813,1197,1281,spout (gush out)
58b3,墳,1814,1198,1282,tumulus
61a4,憤,1815,1199,1283,indignation
7259,牙,1816,1904,2053,fang (tusk)
82bd,芽,1817,1905,2054,bud
96c5,雅,1818,1907,2056,elegant
90aa,邪,1819,1906,2055,evil
65e2,既,1820,1481,1593,already
6982,概,1821,1482,1594,general (rough)
6168,慨,1822,1483,1595,deplore
82d7,苗,1823,234,249,seedling
63cf,描,1824,670,723,depict
732b,猫,1825,244,259,cat
840c,萌,1826,2377,2460,germinate (sprout)
5146,兆,1827,235,250,"sign (show signs of), trillion"
773a,眺,1828,237,252,gaze
9003,逃,1829,283,301,escape
6843,桃,1830,236,251,peach
8df3,跳,1831,1284,1378,jump (leap)
6311,挑,1832,658,710,provoke (challenge)
62d9,拙,1833,769,831,clumsy
5c48,屈,1834,1060,1140,bend
6398,掘,1835,1061,1141,dig
5800,堀,1836,1062,1142,ditch
5c01,封,1837,156,168,"seal (enclose), enfeoff"
7b52,筒,1838,944,1015,tube
7ba1,管,1839,1273,1365,"pipe, exercise control"
68fa,棺,1840,1272,1364,coffin
8f44,轄,1841,1552,1672,exercise jurisdiction over
6d1e,洞,1842,181,193,cave
7a9f,窟,1843,2615,1420,cave
6deb,淫,1844,2298,788,lewd
598a,妊,1845,507,546,become pregnant
5a20,娠,1846,2012,2168,conceive
5507,唇,1847,2013,2169,lip
8fb1,辱,1848,2009,2165,humiliate
8972,襲,1849,2025,2181,"raid, inherit"
4f0f,伏,1850,962,1035,prostrate
5420,吠,1851,2170,2288,howl (bark)
565b,噛,1852,2172,2290,bite (chew)
73ed,班,1853,1229,1315,squad
6591,斑,1854,2556,1865,spot (speck)
8f29,輩,1855,1637,1765,fellow
60b2,悲,1856,1635,1763,sad
5ffd,忽,1857,2431,2509,"suddenly, careless"
60da,惚,1858,2277,2376,fall in love with
733f,猿,1859,403,430,monkey (ape)
54c0,哀,1860,401,428,"sorrow, pity"
8870,衰,1861,1890,2037,decline (degenerate)
8877,衷,1862,1891,2038,inner heart
55aa,喪,1863,1926,2076,"mourning, loss"
5fcc,忌,1864,599,644,"mourning, abhor"
5353,卓,1865,51,52,"table, prominent"
60bc,悼,1866,621,668,mourn
8c9e,貞,1867,55,58,chaste
5075,偵,1868,981,1056,spy
8987,覇,1869,1895,2043,supremacy (domination)
8986,覆,1870,1611,1738,"cover (conceal), overturn"
5c65,履,1871,1057,1137,"fulfill, put on footwear"
5c5e,属,1872,1953,2103,belong to (be subordinate to)
5631,嘱,1873,1954,2104,charge with
5076,偶,1874,1955,2105,"by chance, couple"
9685,隅,1875,1958,2108,nook
9699,隙,1876,2426,1394,crevice (space)
9047,遇,1877,1956,2106,"treat (receive), encounter"
611a,愚,1878,1957,2107,foolish
66f9,曹,1879,1173,1257,sergeant
906d,遭,1880,1174,1258,meet with (encounter)
69fd,槽,1881,1176,1260,tub (tank)
59a8,妨,1882,491,530,hinder (obstruct)
574a,坊,1883,492,531,"sonny boy, colloquial person suffix"
508d,傍,1884,1015,1090,beside
65bc,於,1885,2900,2909,"at, in, on"
623f,房,1886,1078,1159,"chamber, tuft (tassel)"
6247,扇,1887,1079,1160,fan
6249,扉,1888,1638,1766,hinged door
96c7,雇,1889,1083,1164,employ
9867,顧,1890,1084,1165,look back (on)
5c51,屑,1891,2219,2330,scraps (scum)
7cde,糞,1892,2653,2695,droppings (shit)
5c3f,尿,1893,1053,1132,urine
6ccc,泌,1894,636,686,secrete
5c3b,尻,1895,2220,1134,buttocks
7089,炉,1896,1080,1161,furnace
7aaf,窯,1897,1325,1423,kiln
91dc,釜,1898,2332,1367,iron pot
723a,爺,1899,2334,2423,old man (grandpa)
7aaa,窪,1900,1323,1421,sink (cavity)
4f73,佳,1901,970,1044,fine (beautiful)
6daf,涯,1902,157,169,far end (outer limits)
6687,暇,1903,1882,2027,free time
971e,霞,1904,2779,2800,mist (haze)
96f0,雰,1905,2028,2184,atmosphere
9727,霧,1906,1228,1314,fog
9732,露,1907,1283,1377,"dew, expose"
971c,霜,1908,426,455,frost
7bb1,箱,1909,942,1013,box
7c4d,籍,1910,1567,1689,register
8cab,貫,1911,102,106,penetrate (pierce through)
6163,慣,1912,627,674,habitual practice
9802,頂,1913,94,98,"summit, receive humbly (eat/drink)"
6234,戴,1914,2702,1938,receive humbly
9805,項,1915,82,86,clause
9803,頃,1916,2791,479,"time, about"
50be,傾,1917,1011,1086,incline (lean)
9811,頑,1918,61,65,stubborn
9812,頒,1919,783,846,distribute widely
9813,頓,1920,2788,1610,suddenly (immediately)
9855,顕,1921,1789,1928,manifest
9818,領,1922,1405,1507,dominion
983b,頻,1923,373,399,repeatedly (frequently)
6357,捗,1924,2269,728,make progress
9806,順,1925,129,136,"order (sequence), obey"
99b4,馴,1926,2807,2822,become tame (get used to)
8a13,訓,1927,341,365,instruct (admonish)
9808,須,1928,1718,1854,must (absolutely necessary)
984d,額,1929,295,316,"amount, picture frame, forehead"
,頼,1930,1665,1794,"rely on, ask"
702c,瀬,1931,1666,1795,shallows (rapids)
5ce1,峡,1932,1265,1355,gorge
72ed,狭,1933,1266,1356,narrow (tight)
631f,挟,1934,1267,1357,hold between (pinch)
982c,頬,1935,2792,1358,cheeks
984e,顎,1936,2795,1333,jaw (chin)
7169,煩,1937,163,175,vexing
4e32,串,1938,603,649,skewer
60a3,患,1939,604,650,affected by disease
75be,疾,1940,1686,1819,"disease, fast"
75f4,痴,1941,1683,1814,"stupid, infatuated"
75ab,疫,1942,1689,1824,epidemic
75e2,痢,1943,1687,1821,diarrhea
75d8,痘,1944,1684,1815,smallpox
760d,瘍,1945,,1817,ulcer (boil)
764c,癌,1946,2576,2626,cancer
75e9,痩,1947,2577,1818,become thin
75b2,疲,1948,1688,1823,tired
88ab,被,1949,807,870,be subjected to (be covered in)
62ab,披,1950,805,868,open out (reveal)
629c,抜,1951,705,761,"pull out, stand out"
63a7,控,1952,1318,1415,"hold back, note (memo)"
6276,扶,1953,839,902,lend support to
62b9,抹,1954,644,694,wipe (erase)
62d3,拓,1955,651,703,open up (farmland or new frontiers)
62f7,拷,1956,1255,1344,torture
697c,楼,1957,930,999,tall building
58c7,壇,1958,587,631,platform (rostrum)
5854,塔,1959,254,270,tower (pagoda)
642d,搭,1960,646,698,load on board
5be1,寡,1961,617,664,"few, widow(er)"
8cd3,賓,1962,511,550,guest
98fe,飾,1963,1477,1587,decorate
98fd,飽,1964,1480,1592,satiated (tired of)
9913,餓,1965,1476,1586,starve
98e2,飢,1966,1475,1585,starve
673a,机,1967,210,223,desk
5197,冗,1968,300,321,redundant (superfluous)
51a0,冠,1969,304,326,crown
96e2,離,1970,1492,1605,separate
80f8,胸,1971,1491,1604,chest
60a9,悩,1972,1935,2085,suffer (be troubled)
8133,脳,1973,1934,2084,brain
81d3,臓,1974,851,914,internal organ
